GeneID,G1R2,G1R3,G1R4,G3R1,G3R2,G1R1,G3R4,logFC,logCPM,PValue,FDR
FBgn0028514,1.05919063,1.600892455,0.867848214,7.087332832,8.371347788,1.183457975,7.28623592,2.996657816,2.422180733,4.43E-11,5.08E-09
FBgn0028519,61.82053303,77.97399477,67.86840066,219.8589244,232.0460502,71.65878847,104.6808465,1.790417372,7.283233023,1.93E-06,9.30E-05
FBgn0028526,12.11718052,11.51278018,40.55971409,1.385416272,1.728606214,6.488924562,2.1304016,-3.497685818,3.278272864,3.41E-10,3.33E-08
FBgn0028533,0.165446834,1.053218721,0.200272665,0.440503413,3.30447939,0.244853374,17.42204657,3.746084726,1.624402273,0.000126957,0.003675659
FBgn0028543,18.12288073,17.77357146,26.07313107,11.22872567,11.72407258,20.23133651,10.62859826,-0.973121625,3.962047545,0.001693866,0.032170279
FBgn0028544,2453.487204,1094.656558,1361.300033,46.12915034,41.31517149,1326.19933,191.7701224,-4.227109764,9.681509301,2.07E-15,4.55E-13
FBgn0028573,71.78341047,65.08554664,151.416482,32.97726019,25.28877689,80.80855097,23.6088472,-1.542456358,5.955502491,1.22E-05,0.000477848
FBgn0028675,10.42315053,9.52497308,10.14788269,20.01911812,20.9476456,12.36595238,22.07516668,0.89923034,3.933740259,0.00296176,0.049367413
FBgn0028699,38.83296611,29.09821728,36.81267929,4.6278481,10.72891025,22.12004158,9.811605613,-1.85947521,4.343900978,1.39E-07,8.88E-06
FBgn0028704,51.56447057,48.18920105,118.8711726,21.99487871,22.69275221,43.6370705,20.31832571,-1.671702615,5.43140838,3.40E-06,0.000155121
FBgn0028855,1.491393681,1.011089972,2.770436861,6.137363361,5.069677206,1.305883846,4.087488175,1.63122806,1.790876079,0.000243119,0.006362556
FBgn0028864,24.10166605,23.92297854,21.09198273,49.2772814,61.77026607,31.9945415,63.93022751,1.194093398,5.379465508,4.48E-05,0.001502927
FBgn0028871,0.0992681,0.294901242,0.066757555,3.707570394,4.369256082,0.122426687,4.655219414,4.671787243,1.006385286,9.97E-15,1.98E-12
FBgn0028936,5.367381271,5.560994845,11.26348488,1.394927555,2.019405908,4.448267571,3.354554182,-1.687523719,2.151383024,0.00035766,0.008873039
FBgn0028938,6581.666968,2482.310138,514.391995,156.9796318,100.4396511,3692.854103,948.8230199,-3.429677927,10.82410767,7.64E-05,0.002389827
FBgn0028983,15.32070771,23.36325598,21.39863356,52.7535875,54.64764433,30.16605812,53.09104982,1.286814502,5.280636275,2.50E-05,0.000896317
FBgn0028999,8.503967259,9.186510712,4.272683789,18.83170446,25.42697756,9.677135861,32.37999636,1.623907856,4.019003668,4.18E-06,0.000185744
FBgn0029518,252.1375665,164.7409335,22.6273898,5.519779411,4.26442331,196.4412506,75.68276374,-2.83228332,6.503436449,0.001013432,0.020852039
FBgn0029719,15.45941833,11.45901968,15.54740062,6.904523915,5.626683923,12.12575122,5.776542266,-1.133582968,3.323650703,0.000695921,0.015441656
FBgn0029762,0.827234169,1.179604967,0.53406044,0.844298209,5.809862231,0.57132454,8.404420641,2.351873459,1.297672509,0.001010323,0.02081895
FBgn0029770,1.59587468,2.705386498,2.14282906,1357.568014,1732.989202,2.700916357,1822.491113,9.53150437,9.725024855,8.60E-100,5.96E-96
FBgn0029804,11.99244684,24.47680307,9.98038798,40.37874537,110.4981192,38.848722,164.9989766,2.09629911,5.815525156,2.54E-05,0.000904347
FBgn0029836,82.53479098,36.79636142,12.87742587,20.60609258,14.16258377,35.43238489,17.27954547,-1.377387916,4.862858263,0.001832308,0.034239937
