"","GeneID","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4","nc","gname","tt","pval","fdr","log.fc","rowMeans"
"201","FBgn0000639",74331.2725,5046.2499,3859.046,5542.3,184283.615,484193.7,9167.02,692818.46,13,"FBgn0000639",545.916940719856,0,0,4.09985119244612,182405.207925
"790","FBgn0004588",8430.04,26.0656,21,14,7601.11,16429.9,27,19537.3,5,"FBgn0004588",588.074387574518,0,0,6.38297717708728,6510.80195
"791","FBgn0004589",7956.64,21.005,17.00004,23.4799,6274.539,14215.38,21,16358.7,8,"FBgn0004589",573.476897778212,0,0,6.30563715704502,5610.9679925
"792","FBgn0004590",12071.6,28,26.0014,20,9647.64,23368.3,43.079,32535.3,3,"FBgn0004590",618.993499236418,0,0,6.48955940929901,9717.49005
"793","FBgn0004591",7806.22,31,32.0012,26.0635,7566.47,18298.6,35,24589.5,7,"FBgn0004591",581.338885026323,0,0,6.14823429394802,7298.1068375
"795","FBgn0004593",6219.66,16,27.0068,26.1499,5949.6,15225,16,18935.9,10,"FBgn0004593",568.500104981992,0,0,6.28956871934318,5801.9145875
"796","FBgn0004594",8594.71,10.0093,26,24,7662.89,18002,30,22176.7,4,"FBgn0004594",594.178153095243,0,0,6.41283584629801,7065.7886625
"2863","FBgn0029770",44729.85,48.22923,64.21711,64.19735,36982.27,47199.274,66.1845,50525.842,1,"FBgn0029770",710.036205467457,0,0,6.59474172478707,22460.00802375
"4097","FBgn0031747",5942.4595,16.0006,194.04688,15,3132.8678,8660.195,24.00002,11844.015,16,"FBgn0031747",484.027353400183,0,0,4.70339334866905,3728.5731
"4216","FBgn0031940",129.192,34618.2,29069.2,200436,523.126,284.387,12655.9,1502.08,14,"FBgn0031940",512.585686380402,0,0,-4.71591132118929,34902.260625
"6341","FBgn0035478",24881.5,34.0229,51,32.1346,17889.2,15520.9,48.0204,18333.2,2,"FBgn0035478",621.702233102597,0,0,6.12234069456791,9598.7472375
"6361","FBgn0035510",65.0784,6594.75,8807.34,73300,50.0176,49,2398.55,125.12,17,"FBgn0035510",479.231562621219,0,0,-5.72927662760816,11423.732
