Name,SRR3390478.quant,SRR3390479.quant,SRR3390480.quant,SRR3390481.quant,SRR3390482.quant,SRR3390483.quant,SRR3390484.quant,SRR3390485.quant
FBtr0075258,165.0,236.0,198.028,439.021,194.0,148.035,131.0,134.0
FBtr0075261,141.033,322.213,246.093,324.059,156.906,200.134,288.751,195.229
FBtr0075268,6.98848e-05,736.502,539.645,2995.86,395.675,3.72461,373.122,551.807
FBtr0075269,5.53735e-07,165.436,131.902,210.293,158.484,178.298,55.721,144.485
FBtr0075263,131.676,375.106,295.584,422.036,507.275,200.891,321.358,377.367
FBtr0075264,218.442,502.48,57.1253,235.722,104.079,178.159,72.2713,199.036
FBtr0075266,834.177,1570.41,1190.12,2874.17,865.638,1357.9,1017.37,1047.52
FBtr0075267,1580.93,3152.62,1923.34,3304.39,1927.39,2366.26,1967.11,2296.2
FBtr0112860,0.0,731.67,564.722,1414.1,550.845,254.678,7.38008,771.942
FBtr0333214,995.521,266.805,200.453,12.1889,171.344,996.442,917.256,227.251
FBtr0075274,667.359,797.233,580.652,514.949,767.128,671.008,573.168,605.143
FBtr0075275,1007.37,1635.23,1381.09,3285.64,1511.45,1967.73,1353.72,1360.94
FBtr0075278,210.0,370.058,282.652,349.0,229.0,258.0,282.253,250.151
FBtr0075279,332.507,463.522,341.031,405.0,390.329,342.027,311.512,358.231
FBtr0075282,35.9747,34.8418,18.3855,29.9408,5.95512,31.8064,30.6765,30.6728
FBtr0075283,1257.67,1213.36,1090.84,1344.26,1116.16,1187.1,1003.35,1280.68
FBtr0075284,758.995,522.082,399.711,939.5,756.055,452.352,326.025,195.0
FBtr0075286,114.428,130.241,101.611,82.96,87.566,124.629,81.2319,66.0247
FBtr0300718,26.213,24.3272,26.942,59.04,44.1544,29.8221,26.7681,58.1293
FBtr0290221,27.0,50.0,29.0,55.2626,61.0,21.0,13.0,32.0
FBtr0075290,0.0,3.0,3.0,6.0,1.0,1.0,0.0,2.0
FBtr0075291,2811.61,4868.4,2583.49,4836.77,3395.38,659.609,1781.71,3680.06
FBtr0075297,76.8114,48.6796,45.0694,48.6448,88.6525,0.0,40.6295,79.0434
FBtr0321285,1437.73,1294.67,1083.38,1064.43,1564.99,1192.64,1171.76,1423.48
FBtr0332122,550.121,707.905,602.952,469.625,488.474,654.307,480.95,410.059
FBtr0273313,72.0,474.821,342.88,777.924,220.015,60.0,253.741,160.477
FBtr0075303,299.421,155.149,180.78,133.876,469.938,178.466,5.53191,171.139
FBtr0075300,5093.78,2354.01,3381.13,1509.84,1085.85,3237.19,2756.98,2413.05
FBtr0075301,351.245,209.788,197.681,207.515,232.206,305.417,356.111,376.836
FBtr0075302,619.564,387.913,452.713,305.589,1087.27,660.77,598.458,1185.51
FBtr0075304,0.448986,54.1662,0.00924461,0.00010602,78.2554,1.93151,4.68361e-05,0.171299
FBtr0075305,496.489,230.268,563.919,172.708,81.8923,489.937,469.874,548.493
FBtr0075306,208.847,97.3678,182.805,7.17274e-05,135.821,253.716,3.6761,276.568
FBtr0113173,365.878,30.3465,254.677,0.00482758,4.66426,115.224,5.02047e-05,0.011466
FBtr0113174,974.725,538.021,729.676,276.938,209.168,1506.93,891.878,1612.05
FBtr0305577,512.35,244.363,393.692,169.801,165.191,454.054,529.46,474.959
