"","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4"
"FBgn0000008",3306.018,4440.787,3672.435,3148.0958,3216.185,3258.618,4953.504,3212.262
"FBgn0000014",2338.496,2589.397,2266.531,1972.069,2343.359,2802.121,2467.845,2763.306
"FBgn0000015",863.17003,660.3147,491.4737,570.0181,993.4198,817.2268,592.8764,724.3415
"FBgn0000017",6556.753973,7962.6219,6719.6631,5516.1048,6377.989,5773.6827,7022.685344,5645.5034
"FBgn0000018",317,368.16,278.032,321.533,352,216,258.004,299.002
"FBgn0000022",119.32,81,73,48,155.039,85,40,78
"FBgn0000024",1925.0403,2915.375,2328.265,2717.37133,2193.6,2231.9992,2473.4359,2539.712
"FBgn0000028",183.0015,262.3623,172.292892,262.07313,208.3289357,106.11857,163.1389,205.13860369135
"FBgn0000032",1108.5333,1099.4779,909.415,957.1188,1103.4957,1211.1705,834.828,1288.271
"FBgn0000036",630.64,1182.21,846.103,1046.92,891.707,686.169,942.755,648.303
"FBgn0000037",272.9996,579.832,400.017,523.177,409.262,339,371.191,297.9997
"FBgn0000038",746.7038,1879.985,1341.7649,1943.695,1369.6732,819.8286,1274.2289,833.0156
"FBgn0000039",377.1482,683.571,439.064,586.001,533.138,352.457,478.0003,341.213
"FBgn0000042",118733.012000011,103271.64891244,84257.8200030766,79241.8170091246,113827.934902662,137475.85800739,115100.087802344,110107.7117
"FBgn0000043",23535.3,25210.1,20068,21938.8,25652.5,28895.4,21038.9,28719
"FBgn0000044",10605.8,19981.9,15548.1,96458.7,9448.66,8654.48,16013.9,8452.92
"FBgn0000045",3963.2,25766,16564.83,57013.9,3527.57,5525.85,12061.68,5907.82
"FBgn0000046",5865.8284,22863.605,16699.286,68270.082,9842.395,5447.1838,12582.755,9000.7624
"FBgn0000047",6595.27,48685.1,30065,82072.8,22028.1,13614,13215,14953.8
"FBgn0000052",4093.752,1938.694,2021.846,1879.488,1558.3569,4467.127,2211.947,2074.095
"FBgn0000053",2701.0733,1222.7741,1260.428,1415.218,1415.2391,2555.4338,1091.0063,4289.371
"FBgn0000054",1565.446,1900.747,1519.472,1438.95,1895.262,2117.263,1722.182,1904.03
"FBgn0000055",1307.95854,2453.63414,1948.33518,5813.119,768.10737,2028.22124,1732.18596,1060.79709
"FBgn0000056",19.34024,43.37084,34.06918,36.929,17.90942,27.75431,24.93766,10.19539
"FBgn0000057",1206.547,1527.144,1029.97812,1408.68945,1303.659,827.896,913.48763,1198.161
"FBgn0000061",565.403,575.327,443.164,430,467.79,643.39,527.693,406.181
"FBgn0000063",352.5667,353.011,221.1921,279.32424,256.2302,210.3572,195.29,256.2987
"FBgn0000064",9166.4679,25046.2183,16022.3279,32028.3272,13033.8336,11973.8961,13119.4395,13471.251
"FBgn0000071",3364.4631,3539.9865,3710.608,2803.382,4084.3359,5154.5889,3728.8316,6236.959
"FBgn0000075",354.75325,330.6278,277.4981,126.0018,748.22145,1829.92792,468.44766,2001.1109
"FBgn0000077",196.2553,182.7385,177.4359,213.0766,223.6816,204.4492,173.1988,188.9241
"FBgn0000078",12.7986,12.8947,7.37748,9.05942,7.21113,5.55319,15.8982,8.59154
"FBgn0000079",9.20141,24.1053,8.62252,10.9406,5.78887,8.44681,3.1018295,4.40846
"FBgn0000083",8325.851,8275.611,8149.436,7843.555,6924.614,8770.6354,10828.33,9606.7307
"FBgn0000084",950.328,938.094,776.673,1276.307,1114.711,1407.398,764.828,1384.768
"FBgn0000092",137.599,31,160.308,43,45.5156,53.2649,30.3502,26
"FBgn0000094",1,1,0,0,0,1,0,1
"FBgn0000097",3572.7938,7910.3025751,5638.6991,3344.1251,6734.3520485863,5048.983,5481.55294,7118.672
"FBgn0000099",2525.5386,3031.86,2207.7723,2322.7292,2623.537,2241.8376,2479.0724,2475.3395
"FBgn0000100",20947.725,27761.683,21798.922,25007.864,24144.549,27692.143,23547.216,25094.45
"FBgn0000108",5604.37,7372.9131,5118.17,6683.64,6610.45,5755.09,5687.5,4557.448
"FBgn0000109",273.5716,284.9998,231.00012,269.0097,326.00036,356.73113,258.25356,356.00047
"FBgn0000114",6866.7877,14725.104,9179.8549,13371.6967,9655.2094,4271.9171,6094.0493,7803.1534
"FBgn0000115",888.512,1010.61,857.818,986.649,1006.22,1010.52,895.372,1100.76
"FBgn0000116",36039.485,88443.637,62848.292,69718.061,55032.281,46018.449,60402.386,43811.328
"FBgn0000117",20651.35521377,25467.5160453086,19283.5385,21407.1853,25446.710841402,23149.37331921,22269.8826,21206.810476
"FBgn0000119",4174.95,4758.93,3537.3,3705.36,4563.74,3408.88,4152.19,3257.73
"FBgn0000120",122.15278,225.00018,98.99995,343.29981,152,38.00004,93.00268,186.0004
"FBgn0000121",56.0045,376,291.01,775.303,104,66,239.428,115
"FBgn0000137",51.0825,29,29,16.0006,49,52,33,68
"FBgn0000139",934.259,1151.058,847.8501,868.7086,905.3028,898.3268,897.1226,805.8251
"FBgn0000140",1563.09,1495.18,1185.74,1221.47,972.736,833.529,900.256,1026.08
"FBgn0000146",134,228,140,187.028,188.9842,119.0009,109,249.7952
"FBgn0000147",811.591,1027.2,750.064,921.883,690.124,351.643,521.9,803.05
"FBgn0000150",7739.136,10985.1363,8293.8161,10001.326,8641.1087,8912.1638,9535.9628,8647.1317
"FBgn0000152",397.369,419.852,311.96,315.395,417.239,475.787,285.143,473.004
"FBgn0000153",97.0016,212.952,203.1559,615.605,352.494,258.3607,152.9229,487.852
"FBgn0000157",1286.7755,1501.4486,1048.81246,966.85092,1214.6955,1002.96,1351.32590004886,914.3082
"FBgn0000158",21,42.0044,26,37.0033,31,33.222,18,53.7662
"FBgn0000163",2622.106,2864.98400003794,2332.341,2797.215,2601.764,2458.515,3116.919,2165.209
"FBgn0000166",61.1971,80.0003,42.25598,60.5718,67.312267728,51.16647,33,42.0052
"FBgn0000173",4693.479,4252.481,3982.0591,4037.5018,4664.701,5634.249,4433.018,4480.054
"FBgn0000179",1004.63973,1120.961,937.5912,844.6767,968.3356,1039.1007,1210.1224,808.80447111
"FBgn0000180",1250.44,1033.522,776.978,745.682,1000.344,1365.222,1107.978,1724.194
"FBgn0000181",11086.82,13251.15,10374.09,13085.1,11336.59,12148.77,10842.66,10881.76
"FBgn0000182",1349.43201,2640.7004,1394.3959,2614.4311,1674.8184,266.37754,946.94291,1828.0319
"FBgn0000183",3035.88,4013.179,3170.742,3231.081,4237.409,3781.335,3551.57,3423.845
"FBgn0000206",144.069,577.438,424.415,1071.37,134,115,315.051,171.551
"FBgn0000210",5923.00847593,1641.42313,1837.18669,1055.89251,6530.16664,15095.57123,1872.70959,15233.6858
"FBgn0000212",4778.2344,5215.2233,3742.6261,3943.517,4928.742,4996.2524,4437.7239,3989.3578
"FBgn0000216",71,38,24.2163,8,50.1343,58,13,61
"FBgn0000221",203,223,176.206,220.004,190,212,191,203.165
"FBgn0000227",1,0,1,1,0,0,0,1
"FBgn0000228",1458.18855,1590.74837881,1265.684145172,1351.6777,1552.6901,1752.16490010627,1500.668056,1349.5509
"FBgn0000229",1919.14,2180.6449,1763.8095,1972.54093,2101.611,1821.0644,1694.558,1822.707
"FBgn0000233",182.914,224.065,126,111,197.51,199,153.265,164
"FBgn0000239",2906.39,3469.045,2503.718,3751.28,3249.79,2658.818,2548.7,2970.986
"FBgn0000241",226.9307,553.718,445.7043,1173.121,214.492,509.591,398.1647,480.3299
"FBgn0000244",870.0051,1108.0314,845.2992,1508.409,1581.882,1248.4013,1091.3638,1067.0265
"FBgn0000246",222.33293032,253.60049052,224.4826,178.8280620904,234.144540633,317.86521235,285.73200621582,211.671441439
"FBgn0000247",1828.769,2354.02,1733.474,2009.413,2119.811,1671.653,1643.079,1796.773
"FBgn0000250",3435.7047,4107.9363,3088.0696,3259.8267,4027.5912,4389.8926,3331.8173,4347.7676
"FBgn0000251",350.083,520.138,314.169000524555,509.261628416,410.08,178.25,255.154,534.636
"FBgn0000253",21246.72,28421.16,23515.298,30135.456,26860.43,27871.995,24448.374,28166.0552
"FBgn0000256",4255.0545,6765.7777,4241.379,7032.7365,5162.5753,2176.5411,3555.5355,4732.236
"FBgn0000257",670.0534,773.833,531.339,634.0798,616.114,697.044,598.003,616.1004
"FBgn0000259",5135.2561526482,5978.1601,4819.9819,4894.5617,5749.8235,5334.0967,4970.81270123744,4829.541304
"FBgn0000261",26332.1,42270.7,37171.4,33727.2,34730.7,25443.3,36880.6,27811.5
"FBgn0000273",4911.52,6518.2308,5189.4406,7950.183,6463.264,5575.3827,5425.6548,5375.5144
"FBgn0000274",584.2585,977.7016,570.9968,1028.1281,709.1527,113.0005,394.2115,697.1105
"FBgn0000276",37,25.6965,53,10,14,422.751,41.7762,80.907
"FBgn0000277",9,12.3035,50,7,9,189.314,13.2238,9.09299
"FBgn0000278",84,58,463,23.0082,61,638.186,70,34
"FBgn0000279",159.388,209,900.67,70.2586,91,1193.46,148.04,48.4324
"FBgn0000283",4086.45,4183.456,3232.882,3334.08,3812.436,3830.687,3677.542,3201.675
"FBgn0000286",1318.4968,1666.2337,1327.1171,1515.6194,1506.137,1410.3668,1309.94,1565.9058
"FBgn0000287",1906.011,2865.20000001873,2045.313,2000.6044,2508.2819,1689.867,1583.8457291,1962.7070204702
"FBgn0000289",5289.4916,5973.0262,4468.254,4687.8647227177,5220.247,5024.95880004932,4962.675,4550.382
"FBgn0000299",5769.31,10339.85,8923.91,25464.85,9812.97,11954.2,9613.73,12401.12
"FBgn0000303",114.555,237.7352,174.101,431.8967,154.662,115.01724,149.6497,105.733
"FBgn0000307",2950.1842,3203.237,2665.654,2739.617,3562.7614,2926.176,2932.0956,2886.386
"FBgn0000308",24591.352,24276.3186,21770.1973,22538.1523,27412.066,32658.461,25269.833,30002.639
"FBgn0000316",1099.256,1094.047,1009.171,1004.678,1224.71,1226.63,1043.727,1017.571
"FBgn0000317",2363.032,3615.22,2433.802,2780.573,4941.607,3668.255,2586.383,4124.242
"FBgn0000318",1974.7605,2599.279,2038.2445,2626.0109,2089.554,2112.2189,2005.8817,2093.1647
"FBgn0000319",19083.523,20199.092,17574.249,17265.92,22272.127,24502.466,18597.413,24735.266
"FBgn0000320",699.12,1044.515,633.001,817.024,804.441,659.1558,653.0354,878.3959
"FBgn0000326",476.108,657.008,474.078,564.331,622.011,606.102,475.006,561.741
"FBgn0000330",737.2529,871.4996,688.9998,774.4762,972.6213,1030.3772,846.1806,843.0253
"FBgn0000337",264.162,402,252,165.003,320.042,206.003,248.002,204
"FBgn0000339",996.9723,1152.9508,874.5688,1126.74,991.9993,1112.4772,892.0884,1152.0669
"FBgn0000346",925.898,1495.007,1039.4042,1927.1923,1078.259,585.222,839.773,1098.9127
"FBgn0000351",41.4639,48.4904,30.0154,37.65631,32.025,54.6822,35.26031,37.0869
"FBgn0000352",1647.87707,1717.725,1372.052,1276.917,1725.959,1444.33,1524.201,1284.151
"FBgn0000355",34,44,23,27,25,3,9,8
"FBgn0000356",0,0,0,2,4,1,4,2
"FBgn0000357",16,16,15,24,12.0005,12,28,18
"FBgn0000358",0,1,0,3,2,4,0,1
"FBgn0000359",10,4,17,2,0,6,4,0
"FBgn0000360",0,1,1,0,0,0,2,2
"FBgn0000370",23862.444,30126.912,24047.211,33924.518,29735.972,28177.088,23977.768,28662.954
"FBgn0000376",650.985,657.197,529.979,470.5050254354,616.116,636.293,622.643,542.82759
"FBgn0000377",925.935,1085,798.1,863.939,955.009,1042.94,916.341,829.556
"FBgn0000382",2946.594,3526.224,2832.6037,3529.562,3556.587,3975.985,3129.681,3821.737
"FBgn0000384",1748.838,1802.31,1599.727,1553.991,2064.673,2017.44,1763.825,1696.517
"FBgn0000392",2313.179,3555.073,2006.366,3625.197,2661.643,634.592,1476.317,2916.853
"FBgn0000394",1204.873,1504.524,1332.292,1306.403,1369.343,1160.416,1418.941,963.259
"FBgn0000395",1574.91,1938.69,1367.5,1743.4,1780.49,1557.16,1748.14,1453.44
"FBgn0000404",2790.78,2613.993,1957.719,1974.009,2043.532,1771.225,2142.054,2114.719
"FBgn0000405",3562.77616,3570.2703,2772.9668,2828.3025,2450.6723,2113.94825,2733.9657,2322.0988
"FBgn0000406",21.0175,23,20.0202,15.99995,36,124.0003,43.0007,225.0286
"FBgn0000409",1030.4,1722.83,1427.07,8068.81,1051.79,1189.59,980.984,1087.1
"FBgn0000411",479.0001,659.002,431,551.8316,584.5931,315.64818,344.0435,684.008
"FBgn0000412",7080.4753,7694.19,6136.031,6705.2758,6719.777,5947.7025,7476.972,5991.0848
"FBgn0000413",2692.308,3341.012,2607.9172,2833.555,2969.49,2580.727,2937.8276178,2966.333706
"FBgn0000414",2958.239769878,3546.5063242584,2668.08800010894,2901.641,3294.3262770825,2927.69400011129,2916.01501162715,2671.3665
"FBgn0000416",37913.215,39062.598,35527.75,36881.909,41577.09,53313.73,37861.69,53728.35
"FBgn0000422",375.4744,349.1388,292.0534,3973.4178,349.7489,296.5807,372.5035,351.3555
"FBgn0000426",528,676,540.585,532.318,538.839,470.851,549.925,469.389
"FBgn0000427",84.00003,85.0004,62.00001,62,73,76.0026177626,89.74284,59.0001600354708
"FBgn0000439",88.0639,101.081,52,63,89,79,90.0228,80.0358
"FBgn0000442",77.1725,69.2252,45.7233,83.1221,58.3678,38.7576,54.6571,66.775
"FBgn0000447",2115.042,3074.5,1999.942,2943.46,2277.821,1275.262,1705.108,2343.21
"FBgn0000448",1558.728230745,9673.388,5158.8144,7209.723008793,8480.24960310091,8787.4372,4815.033,12135.0032
"FBgn0000449",26.7884,45.6008,37.0504,30.977,36.9934,201.911,28.9016,27.3623
"FBgn0000451",16519.237,5324.355,7101.327,16340.717,21880.614,56897.048,15772.971,50203.62
"FBgn0000454",17337.089,20152.712,18376.821,16255.701,23210.763,26672.842,19042.076,24066.056
"FBgn0000455",3002.397,2454.8682,2379.8372,2267.3788,2502.5315,2902.3662,2361.9991,2529.9411
"FBgn0000459",483.066,505.857,311.617,315,435.209,312.1858,335.2611,298.1353
"FBgn0000463",2334.4584,3175.978,2367.10860352,2438.3682,2831.17427,2704.940175596,3107.2485,2610.2499
"FBgn0000464",3666.617901,5421.3897417151,3857.6181,4550.262,4421.248,3288.279291295,4050.1188,3175.871
"FBgn0000473",79.1036,143,113,176.002,63,57,83,18
"FBgn0000477",1919.02,2289.25,1709.71,2209.06,2804.79,3943.89,2011.35,3486.68
"FBgn0000479",1634.7726,2147.001377,1802.00422,2494.59358,1878.4189,2317.7538,2055.99960002453,2334.1855
"FBgn0000482",904.574,987.098,701.021,754.312,910.198,920.502,802.539,880.418
"FBgn0000489",3610.53,2904.305,2093.14,2866.13,4127.68,4222.921,2039.667,5283.35
"FBgn0000490",1126.5827,1363.5715,1193.338,1129.3485,1122.3056,1311.4732,1387.2501,998.1496
"FBgn0000492",539.584,712.561,420.565,383.006,564.009,404.231,404.404,483
"FBgn0000497",6870.21899,9153.535341,7095.2936,7093.0902746,7774.442443,7101.83427,8492.9920657,6630.3811
"FBgn0000499",1885.71,2571,1708.45,2185.87,2068.74,1651.97,1763.1,1829.83
"FBgn0000500",30,68,38,52,72,31,31,33.0568
"FBgn0000504",1322.3674,1586.31338,1399.4237,1183.6946,1525.5318,1336.5828,1668.728,1190.8846
"FBgn0000520",343.154,465.796,301.232,339.954,392.909,380.28,314.741,335.782
"FBgn0000524",1826.85,2112.74,1620.48,1603.1,1900.77,1623.21,1800.96,1399.6
"FBgn0000527",118.126,1587.38,949.68,5237.25,1376.74,1576.56,398.075,2986.89
"FBgn0000529",26,39,35.99999,25.00001,55.00004,25.99999,37,41
"FBgn0000533",407.5039,261.602,213.0003,241.0005,338.26,350.1344,231.0005,266.588
"FBgn0000535",177.37469,375.3133,297.06385,640.224527013236,282.049859216,233.29702163,327.0752417475,185.181379638
"FBgn0000536",2703.595,2149.71546,1996.50211,2235.5606,2963.48527,2871.59129389,1837.2399,3020.6612
"FBgn0000541",8141.893015072,9093.87848825623,6727.10780028359,7022.12660359086,8359.86601117,6933.632843,7095.23140015331,7344.476
"FBgn0000542",5478.12,7326.37,5047.59,6419.71,6905.8,5399.53,7247.72,5289.44
"FBgn0000543",1455.36,1566.79,1203.08,1366.39,1390.51,1607.12,1318.58,1401.83
"FBgn0000546",6108.782,4848.067,3997.8815,4409.8278,4673.68,4520.459,6209.607,3277.299
"FBgn0000547",12074.738,16920.571,13190.847,13101,18704.654,14803.187,15057.022,14082.424
"FBgn0000551",28253.12,185.5201,332.1858,963.4918,10018.786,7645.283,168.56766,1393.269
"FBgn0000552",5566.31,2,80.0078,1,1134.11,523.008,6,99
"FBgn0000556",167611.7643,173176.8172,148076.0295,168047.6334,178846.5935,210511.1132,159984.1408,185594.172
"FBgn0000557",23013.51,48933.91,34640.34,33639.12,34470.52,28607.91,30911.97,22217.04
"FBgn0000559",90863.8,97760.19,79047.993,90509.12,91254.52,97309.83,83866.43,82995.48
"FBgn0000560",118,259.0299,183.9998,182.1039,304.0026,204.897,161.9996,202.0095
"FBgn0000562",2241.262,2899.031,2300.126,2522.086,2712.546,2663.859,2476.115,2677.537
"FBgn0000564",37,58.0123,43.0109,62,53.0486,35.00344,33,52.32394
"FBgn0000565",3088.4913,3779.5805,3329.2036,2776.092,3419.3422,3554.7394,3118.983,2556.6776
"FBgn0000566",1160.63,1723.421,1439.419,1613.462,1469.199,1308.07,1358.084,1414.025
"FBgn0000567",4736.181,5263.418,5026.127,4791.944,4733.627,6753.965,6826.359,4282.292
"FBgn0000568",8602.6647,14269.7419,10212.9473,8666.541,11633.3550002288,13838.4486,15305.719316,14478.517
"FBgn0000575",5917.5,6477.93,4354.29,4429.05,6704.47,5934.79,4865.02,6217.66
"FBgn0000576",535.084,650.107,275.07,300.04,558.289,374.446,355.763,479.676
"FBgn0000577",524.7439,609.5815,341.0759,271.9996,498.6176,276.013,299.9999,424.5453
"FBgn0000578",5072.371,5996.93584,4597.628,4866.374,6089.2892,6014.176,5488.498,5973.1483
"FBgn0000579",9219.2435,17090.9552,11954.6119,21692.027,11598.4537,16391.8609,11365.2931,14166.7055
"FBgn0000581",4393.25100607664,5356.93250194423,3979.42464897559,4387.8062,4731.6484,3495.80049,4275.294,4181.06422045553
"FBgn0000588",163.151,187.237,149.261,152.381,145,147,143,145
"FBgn0000591",61,42,32,22,97,60,51,88
"FBgn0000592",149,959.14,421.586,266.493,73,207.8609,474.066,247.4492
"FBgn0000594",6.27517,30.0824,26.8239,19.6138,20.2692,32.6026,10.836,33.3372
"FBgn0000606",5,8,5,3,8,10,9.00143,3
"FBgn0000611",5260.381,5616.4691,4324.7299,4490.9225,5338.31531,5155.2003,4868.2849,4888.0298
"FBgn0000615",12677.5019,20741.713,12287.678,21677.264,15510.346,3125.2926,7782.2124,16037.516
"FBgn0000617",388.551,512.047,363.539,406.708,444.605,409.721,414.346,375.309
"FBgn0000618",274.773,318.808,224.534,244.533,228.731,279.286,274.094,182.682
"FBgn0000625",287.2466,332.236000031612,213.99959,207.0978,305.3,210.0807,263.5221,282.71
"FBgn0000629",941.4272,1009.5345,736.6795,909.1958,976.583,921.3709,811.9965,807.9444
"FBgn0000633",707.3452,962.078,672.4931,919.911,843.507,701.671256,774.633,724.396
"FBgn0000635",8023.441,9298.71,7432.235,7519.5824,10242.947,9776.656,8270.541,9180.24
"FBgn0000636",11785.196,12966.582,10783.121,12623.433,11546.555,12105.686,14505.415,10355.815
"FBgn0000639",74331.2725,5046.2499,3859.046,5542.3,184283.615,484193.7,9167.02,692818.46
"FBgn0000640",19087.07,2827.766,3140.102,3883.059,5648.809,34169.58,6830.752,73684.93
"FBgn0000644",62.0936,61.2034,38.9606,56.1343,68.6276,45.8504,46.3891,58.1444
"FBgn0000658",2453.57,2318.21,1442.74,1621.58,2098.14,1465.14,1654.4,1344.38
"FBgn0000659",1093.352,1273.17951,792.2643,788.29000138019,1299.056,1411.708,957.216,1455.656
"FBgn0000662",2409.5282,2976.292,2290.701,2489.438,2713.896,2874.1866,2645.9083,2612.6968
"FBgn0000667",4649.7549,10480.3269,6905.217,16685.3752,8397.7159,7469.2627,6116.1241,8219.3978
"FBgn0000709",1237.15,1633.72,1219.42,1332.3,1548.02,1354.01,1343.01,1483.81
"FBgn0000711",1990.8841,2182.7741,1951.8297,1976.7361,2504.7249,2393.3087,2134.8863,2182.385
"FBgn0000715",52.2152,81,60,85.0365,51.0237,72,57.0698,53
"FBgn0000719",1543.0147,1431.6018,1503.529,1392.09286,2006.514,2376.148,1284.0344,1887.294
"FBgn0000721",4916.04460030584,3778.214,3783.7406,3805.37284059,4144.4573,4426.6709,4090.2133,3893.8733
"FBgn0000723",2496.0038,3673.909,2869.2082,2973.1942,3545.9224425,3905.9925,3088.0361,3473.35367699
"FBgn0000808",6,4.16803e-08,1.55942,7,2.70345,9,0.1182617464,5.00000445417
"FBgn0000810",672.34,899.426,674,694.58,809.183,674,661.47,695.005
"FBgn0000826",30,40,27,20,25,16.0016,26,22
"FBgn0000927",22.1034,26,22.0554,28.1139,24,19,42,14
"FBgn0000928",62,98.0555,86,80,74,39,55,77.0007
"FBgn0000964",62,94,60,75.0014,106,95,68,77.0048
"FBgn0000996",715.809,675.943,579.127,465.291,491.835,554.913,512.023,535.284
"FBgn0001075",7535.01,8388.32,5957.31,6557.51,7719.27,6257,7721.3,5421.82
"FBgn0001077",19,55,13,39,39,11,9,51
"FBgn0001078",4855.773,945.579,1090.368,3292.555,9016.569,6302.504,936.056,4532.344
"FBgn0001079",662.59,593.16,440.262,433.47,563.868,560.3,483.838,453.21
"FBgn0001083",1891.873,2056.466,1891.721,1861.325,1828.448,3082.148,2614.351,2558.453
"FBgn0001084",375.3314,432.9634,304.005,331.7654,422.0029,361.8361,353.7164,360.7996
"FBgn0001085",2304.3,3170.38,2561.3,2142.64,2846.32,2078.62,2754.58,1963.662
"FBgn0001086",1040.31,963.166,826.886,863.567,676.774,619.584,772.652,835.423
"FBgn0001087",1796.74,2195.08,1730.398,1709.548,2111.339,2095.663,1835.962,1880.897
"FBgn0001089",9993.604,11662.2813,10239.6177,7683.144,14439.571,15023.1,10534.161,11702.3542
"FBgn0001090",212869.446,250067.0047,123370.7959,224269.8438,147579.514,64712.6968,263769.416,36883.3241
"FBgn0001091",6165.0532,17973.4612,11803.582,23292.5082,8403.468,9236.8663,9385.448,9281.4079
"FBgn0001092",6813.81,11574.639,7770.461,13003.172,7789.227,11856.356,7184.123,11476.457
"FBgn0001098",4850.792568,8868.5904,6706.1873,14035.4286378,7025.4923,6388.9082253,7449.9192,6071.0106
"FBgn0001099",593.9190174689,1003.196,349.42077,1117.93115,1192.586,212.6167,414.2435,1267.5790376931
"FBgn0001104",2941,3140.35,2931.47,2872.61,3273.27,4878.13,3556.79,3611.16
"FBgn0001105",11235.758,13565.171,11114.991,11307.86,13189.728,12325.537,11888.214,11347.181
"FBgn0001108",2326.34,2802.06,2182.82,2436.92,2894.58,2930.73,2221.39,2988.83
"FBgn0001112",994.234,1570.11,1877.62,1655.46,790.19,1494.07,1831.69,1699.14
"FBgn0001114",23420.3871,21203.239,19933.5065,21327.3321,25240.363,22690.6334,20394.37,19389.51
"FBgn0001120",5,1,3,3,5,3,2,3
"FBgn0001122",3672.7003,4675.5845,3660.9833,3988.561,4596.9336,4291.45734,3931.2527,4226.2235
"FBgn0001123",2973.2732,3165.2308,2730.0783,2914.4203,3234.6472,3300.0573,2932.9,2870.0537
"FBgn0001124",4797.02,6721.97,4599.25,6897.18,5379,3473.212,4186.181,4853.87
"FBgn0001125",3147.418,3839.57,2648.928,3402.22,2942.602,4021.252,2254.417,4701.66
"FBgn0001128",2611.7969,1869.6861,1834.4295,1869.092,1952.5359,1693.769,1653.2499,1232.87506
"FBgn0001133",566.12,723.491,546.238,669.016,695.389,601.546,537.135,561.472
"FBgn0001134",55.7959,70.5739,65.412,96.1016,50.153,61.1872,66.584,35.9578
"FBgn0001137",512.411,815.903,676.838,983.163,661.57,520.69,567.833,598.773
"FBgn0001138",977.093,1126.633,791.895,807.875,936.391,866.411,1060.155,886.918
"FBgn0001139",4186.251,4479.5573,3443.41790084581,3758.4851906,3947.64440053731,3457.1486,3853.2238,3483.5933483
"FBgn0001142",15234.587,11272.633,10723.91,9819.496,17273.412,24436.143,11095.513,26460.084
"FBgn0001145",5668.617,2767.3097,2425.7258,4834.6695,3380.0434,4895.43863,2842.0393,3694.974
"FBgn0001147",82.6495,142.49,57.0161,90,101,46,54.3391,87.0005
"FBgn0001148",74,74,35,70.0064,95,37,53.036,58
"FBgn0001149",9354.528,13516.281,10886.566,15158.353,14487.141,12652.021,12701.439,11066.67
"FBgn0001150",22,33,18,22,28.0001,22,33,16
"FBgn0001168",1782.429,1204.268,1275.572,1461.611,1967.939,2327.076,1551.666,1722.301
"FBgn0001169",2020.3612,2417.887,1938.1715,1818.2695,2240.021,2084.74178214,2103.97400211647,2142.331
"FBgn0001170",51,60,54,34,61,82,46,84
"FBgn0001174",4,3,1.01764,6.01596,5,1,1,7
"FBgn0001179",913.7799,925.344,725.388,795.4688,843.25,890.863,702.365,855.489
"FBgn0001180",34.00114,99.0013,48.0181,68,98.0181,45,35,62
"FBgn0001185",588.473,656.587,501.991,540.971,605.304,548.394,515.902,475.117
"FBgn0001186",2777.848,3177.168,2693.586,2865.812,2613.762,3473.71,2087.57,2638.576
"FBgn0001187",21.0405,16.0569,14,15,24.0469,12.0701,16,56.1183
"FBgn0001189",1696.184,1948.458,1792.612,1681.277,1901.046,1790.227,1715.398,1548.019
"FBgn0001197",4153.918,4137.821,3332.372,3581.148,3243.59,3055.748,4149.952,3068.781
"FBgn0001202",1324.79,1485.66,1271.22,1337.71,1546.27,1646.64,1240.31,1591.07
"FBgn0001206",695.685,728.002,534.004,519.009,618.104,600.061,563.158,468.28
"FBgn0001208",1639.2208,1731.33552,1558.4397,2803.2637,1930.7579,2531.1976,1615.3922,2256.3243
"FBgn0001215",11564.391,14580.453,10622.028,12845.34,13170.459,9795.1283918,10701.406,11498.086
"FBgn0001216",1201.8362,2425.6259,1467.2569,3605.832,1692.3628,376.0166,887.2959,1489.9706
"FBgn0001217",4347.93,6870.82,4184.09,7166.51,4910.08,935.345,2754.39,4855.16
"FBgn0001218",36850.99,48885.906,45327.575,37047.28,62982.4,80944.41,56055.68,81441.99
"FBgn0001220",7453.48,14784.59,10201.13,12245.28,9023.72,10985.821,9713.67,9057.73
"FBgn0001222",3898.443,3093.236,3123.462,3137.023,3515.597,7501.028,3582.754,4562.573
"FBgn0001223",11160.8497,16943.851,26032.4965,19986.439,23126.1952,43369.7944,41441.2821,25702.33
"FBgn0001224",88667.4,56548.8,75972.4,56185.8,77063.1,235605,96476.9,120389.9
"FBgn0001225",35534.207,48395.118,64726.539,52096.089,57594.236,137936.689,95854.933,75826.72
"FBgn0001226",47048.936,55573.208,67041.359,59929.423,61711.22,98573.787,88509.771,67387.838
"FBgn0001227",8734.72,10344.5,11350.9,9925.94,11790.2,16435,15166.3,10225.8
"FBgn0001228",917.6049,907.4194,666.1197,996.4635,967.9829,1822.9274,518.7394,1267.5014
"FBgn0001229",3553.6,5122.67,5733.43,4007.01,5755.89,17441.5,8920.94,6260.91
"FBgn0001230",26699.7,38469.2,54714.9,48775.3,54417.8,84069.8,109315,74295.7
"FBgn0001233",72533.99,92687.23,107754.98,112873.97,94421.13,151680.99,144106.02,119979.35
"FBgn0001235",8222.876,8862.045,7380.357,6913.621,8660.961,8035.68,8726.653,7084.964
"FBgn0001247",2003.11,2976.53,2083.69,2526.81,2376.45,2052.32,1802.61,2106.11
"FBgn0001248",11703.071,15025.265,11591.012,15609.336,14714.2051,15135.479,12416.8897,15235.643
"FBgn0001250",3092.614,3574.41162333,2474.4922172,5356.4168,3749.9759,3137.0831,2863.2817,3027.5382
