"","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4"
"FBgn0042112",237.557,401.906,273,358.743,217,219,280,230.593
"FBgn0042118",1403.8796,6.97491,35.1956,44.4687,26.10763,97.91073,17.9948,8.11734
"FBgn0042119",33,1,0,6,2,2,0,0
"FBgn0042125",773.576,1109.82,636.394,933.274,853.524,447.705,579.237,842.771
"FBgn0042126",74.0623,142.275,75.3457,110.03,84.1208,46.3784,42.2393,130.07
"FBgn0042127",482.536,671.625,401.443,621.157,555.28,233.605,346.133,546.355
"FBgn0042129",6.49986,8.54827,8.62386,4.17284,4.14998,10.8699,8.70947,8.92343
"FBgn0042131",366,547.627,347.513,574.09,409.257,73,225.87,434
"FBgn0042132",576.10568,1092.69052,726.93633,874.5243,878.356,671.552,665.6322,771.26404
"FBgn0042133",940.136,1657.15,922.304,1635.73,1041.87,225,581.176,1174.63
"FBgn0042134",8394.173,9263.873,7844.53,7717.155,8401.849,8574.885,8689.11,8371.07
"FBgn0042135",5188.706,4820.7249,4152.649,4856.1328,5316.9816,7750.054,3802.1729,7928.772
"FBgn0042137",3,5.02167,2,12,3,2,2.05602,4
"FBgn0042138",1325.6223,1947.8936,1393.4799,1819.651,1556.7834,1236.5171,1273.039,1526.2989
"FBgn0042146",22,54,32.0624,56,29,11,15,42.0016
"FBgn0042173",0,9.02222,0,0,24.3595,0,0,5.41316
"FBgn0042175",2446.4846,1807.6483,1517.5984,1765.86,2008.1967,2539.6194,1471.827,2787.3553
"FBgn0042177",2592.371,3320.116,2604.434,2742.68,2956.79,3027.266,2529.968,2450.921
"FBgn0042178",3643.46,5385.77,3035.88,5168.56,4262.55,915.803,2226.51,4253.84
"FBgn0042179",1297.1700018679,1967.14000083364,1173.96000019374,1924.42,1443.96,319.20951,821.7940499017,1593.9
"FBgn0042180",354.9995,397.0434,323.4223,410.0011,391.0004,324.0001,302.0902,435.0435
"FBgn0042182",301.428,273.783,212.418,218.814709,231.275,228.775,191.725,224.001
"FBgn0042185",1103.5312,1347.029,1081.2683,1513.0197,1152.8871,926.91658686,1030.25762508,1112.9591
"FBgn0042186",0,0,0,0,0,0,0,1
"FBgn0042187",0,0,0,0,1,0,0,0
"FBgn0042189",4175.4508,7672.702,4092.153,8735.6391,4794.6464,867.9999,2762.5034,4705.0462
"FBgn0042198",417.662,668.362,382,700.718,389.729,78.1565,240.877,403.039
"FBgn0042199",1,0,2,2,0,2,0,0
"FBgn0042201",103,119,163.967,157.149,270.543,218.007,106,94
"FBgn0042205",125,145.001,104.268,97,124,130.074,126,87.0024
"FBgn0042206",57,78.002,72,84,109.2169,91,92,243.6573
"FBgn0042207",11,13.5035,5,10,10,13.2735,11,17
"FBgn0042213",241.005,298,191.9999,281.0343,268,257.8771,216.0157,262
"FBgn0042627",119.0756,534.0155,671.249,2761.756,175.0001,105,371.9999,169.014
"FBgn0042630",343.201,399.4185,295.6722,247.4897,380.8033,298.1734,346.241,370.3319
"FBgn0042641",798.814,944.387,739.447,864.673,993.849,852.159,824.887,1014.083
"FBgn0042650",1185.8085,1586.7562,1286.337,1072.3058,1560.3623,1192.2823,1385.0102,972.428
"FBgn0042693",4205.390475092,5199.07968957,3782.04880026932,3948.0524,5020.8525,3585.948707507,3886.817667,3657.5210342445
"FBgn0042696",1067.978,2401.601,1742.069,1809.381,1825.555,1254.544,1437.026,1108.267
"FBgn0042710",1843.83,3039.68,1606.78,3641.88,2048.95,359.094,1156.19,2075.04
"FBgn0042711",337,498,289.862,539.523,318.14,98.0289,213.162,394.216
"FBgn0042712",1986.552,2192.869,1386.602,1813.867,1720.955,1259.293,1250.929,1977.076
"FBgn0043001",631.132,562.764,482.271,500.592,494.578,482.7286,513.5495,373.4421
"FBgn0043002",153,107.736,144.136,116.348,110,147.307,127.837,108
"FBgn0043005",131,120,66.0013,168.147,78,60,80.0003,65.0017
"FBgn0043010",888.617,1045.3,759.955,995.193,852.317,758.4833,726.954,955.493
"FBgn0043012",1357.57,1476.95,1355.26,1420.29,1520.74,1616.22,1375.72,1471.49
"FBgn0043025",1555.43,2586.9516,1510.6,2882.8879,1748.32,319.474,997.006,1739.79
"FBgn0043043",9.10728,10,15,6,8.0425,8,7,8
"FBgn0043069",538.758,590.621,641.644,356.8530141887,421.743,412.4364,298.39827,455.501
"FBgn0043070",4252.707,6613.834,4880.562,7803.712,5466.666,4517.3757,4625.582,5700.1878
"FBgn0043362",1500.38,1916.56,1417.02,1809.12,1899.24,1626.44,1625.14,2091.97
"FBgn0043364",1478.74515,1106.386,1532.275,1488.5538,1363.7894,1641.18,1550.5687,1478.234
"FBgn0043455",523.8758,551.1528,419.3033,477.5053,560.9915,636.4404,463.9905,543.5022
"FBgn0043456",5475.62000004843,5929.962,4525.4316,4558.71300376038,5006.876,4748.810040814,5315.663,4369.4374
"FBgn0043457",594.752,781.609,511.65,671.834,612.975,472.8918,494.6217,550.432
