"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11439","FBgn0035861",1.250770598,1.323620575,4.054369609,0.003741639,0.004201862,-2.543088863
"11441","FBgn0038880",1.432388357,2.568247908,4.032493329,0.003856288,0.004329856,-2.599058368
"11442","FBgn0030104",1.947322399,2.322578805,4.031683154,0.003860606,0.004334325,-2.678878987
"11443","FBgn0002838",1.508556819,1.607954606,4.030975088,0.003864384,0.004338188,-2.613592165
"11444","FBgn0036128",-1.519279698,-1.367785414,-4.01984062,0.003924321,0.004405088,-2.308624695
"11445","FBgn0039326",-3.040173612,-1.850400803,-4.019347901,0.003926996,0.004407706,-2.184120221
"11447","FBgn0040211",-3.451964539,-1.882291545,-4.016454615,0.003942746,0.00442461,-2.159018478
"11448","FBgn0036264",-1.528007866,-1.868708471,-4.006023087,0.004000096,0.004488577,-2.327952736
"11449","FBgn0039495",1.386051852,0.894342086,4.001604029,0.004024661,0.004515747,-2.639253984
"11450","FBgn0085294",-1.2820326,-1.066126393,-4.001125057,0.004027333,0.004518351,-2.356577663
"11452","FBgn0029643",-1.971904279,-2.052043562,-3.997536552,0.004047415,0.004540088,-2.302793866
"11453","FBgn0034511",-1.615618304,-2.079233706,-3.996353717,0.004054058,0.004547143,-2.334152641
"11455","FBgn0003486",-1.772260689,-2.008495641,-3.995413295,0.004059348,0.004552281,-2.321937906
"11456","FBgn0043791",-1.693133885,-1.499147684,-3.991591864,0.00408092,0.004576073,-2.33434566
"11457","FBgn0037503",3.056198041,2.981456115,3.9882633,0.00409981,0.004596854,-2.946264138
"11458","FBgn0267042",1.398633396,1.697630915,3.988087962,0.004100808,0.004597572,-2.660519153
"11459","FBgn0013771",1.29188784,1.863733351,3.987146597,0.004106169,0.00460318,-2.646799365
"11460","FBgn0085289",-2.26238806,-2.331199993,-3.981496075,0.004138506,0.004639027,-2.300347858
"11461","FBgn0040729",-2.011320897,-1.807071356,-3.979825573,0.004148119,0.004649397,-2.32603103
"11462","FBgn0035479",1.529217286,1.615526694,3.977872172,0.00415939,0.004661623,-2.694878331
"11463","FBgn0011279",-1.956954173,-1.48586097,-3.977722921,0.004160252,0.004662183,-2.332802261
