"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"109","FBgn0023213",8.79264607,8.736904684,148.5227175,6.31e-15,7.59e-13,23.25897317
"110","FBgn0003371",8.552903173,8.514328623,148.3244028,6.37e-15,7.59e-13,23.23616006
"112","FBgn0086472",9.794536916,9.771664937,147.1020013,6.8e-15,7.63e-13,23.24620704
"113","FBgn0015288",9.171250266,9.113580139,147.236108,6.76e-15,7.63e-13,23.23921424
"116","FBgn0026372",9.935600121,9.928080305,146.5207298,7.02e-15,7.78e-13,23.23286016
"117","FBgn0035422",9.137226914,9.132300736,145.4981263,7.42e-15,7.87e-13,23.19109461
"118","FBgn0039300",9.135188005,9.090519628,146.0902781,7.19e-15,7.87e-13,23.2073159
"119","FBgn0011230",9.070619119,9.048581453,145.3935664,7.46e-15,7.87e-13,23.18624401
"120","FBgn0011726",9.05933337,8.913033972,145.4582392,7.44e-15,7.87e-13,23.18765353
"121","FBgn0087013",8.623060184,8.620362969,145.8325455,7.29e-15,7.87e-13,23.17567708
"123","FBgn0003517",10.26708207,10.25264005,144.6191428,7.79e-15,8.07e-13,23.18686662
"125","FBgn0032586",8.539966875,8.458900127,144.3942913,7.88e-15,8.1e-13,23.12882793
"126","FBgn0262736",9.878853069,9.665408466,143.6481487,8.21e-15,8.12e-13,23.1518646
"132","FBgn0033912",9.675940565,9.6448862,142.806978,8.6e-15,8.37e-13,23.1246008
"136","FBgn0002579",9.526956678,9.50750997,142.1683742,8.91e-15,8.42e-13,23.10398822
"137","FBgn0260934",8.642408321,8.602942732,142.0043833,9e-15,8.44e-13,23.06959531
"138","FBgn0032987",9.823255782,9.766489887,141.6318166,9.19e-15,8.55e-13,23.09275428
"139","FBgn0004657",8.571669784,8.472793246,140.6207658,9.72e-15,8.98e-13,23.02378241
"140","FBgn0034753",9.724390252,9.741891375,139.6101961,1.03e-14,9.26e-13,23.03119064
"141","FBgn0039858",9.672929894,9.613683428,139.7478129,1.02e-14,9.26e-13,23.03458434
"142","FBgn0261597",9.331523025,9.32687323,139.7517095,1.02e-14,9.26e-13,23.02965896
"143","FBgn0031980",9.152056418,9.122239589,139.332178,1.05e-14,9.26e-13,23.01346007
"147","FBgn0053113",9.346732729,9.301091731,138.2662681,1.11e-14,9.27e-13,22.98479702
"148","FBgn0027588",8.933270013,8.894155983,138.2652193,1.11e-14,9.27e-13,22.97434692
"149","FBgn0037249",8.555915474,8.514617253,138.7801414,1.08e-14,9.27e-13,22.96765782
"155","FBgn0261014",9.585113891,9.474443054,137.6948955,1.15e-14,9.52e-13,22.97066172
"156","FBgn0029506",8.659082708,8.543672037,137.5118576,1.16e-14,9.53e-13,22.93671422
"158","FBgn0000117",9.729288988,9.70147931,136.7590975,1.21e-14,9.55e-13,22.94348836
"159","FBgn0023170",9.575894166,9.522583865,136.1453847,1.26e-14,9.55e-13,22.92196238
"160","FBgn0085436",9.100956708,9.039730261,136.2231461,1.25e-14,9.55e-13,22.91620508
"161","FBgn0086710",8.948954158,8.896191328,136.6124963,1.22e-14,9.55e-13,22.92378002
"170","FBgn0043884",8.809374365,8.812171155,135.5464354,1.3e-14,9.83e-13,22.88398339
"171","FBgn0027108",9.450756007,9.42264518,135.0287062,1.34e-14,9.9e-13,22.8845575
"172","FBgn0010348",9.121078171,9.0121284,135.144039,1.33e-14,9.9e-13,22.88238826
"173","FBgn0012037",8.809055716,8.692495295,135.0903466,1.34e-14,9.9e-13,22.8693999
"179","FBgn0004403",9.204204233,9.168093792,133.8246859,1.44e-14,1.03e-12,22.84127951
"180","FBgn0023143",9.187193542,9.154273854,133.3570669,1.48e-14,1.06e-12,22.82555808
"181","FBgn0250789",9.433961491,9.490697355,133.0406093,1.51e-14,1.06e-12,22.81927196
"182","FBgn0016756",8.573024631,8.656987047,133.1427815,1.5e-14,1.06e-12,22.79152107
